kernel_id,bx,by,bz,best_time,default_time,points,gpoints_per_s,nargs,nstencil_args,widest_radius,widest_radius_x,widest_radius_y,widest_radius_z,stencil_sig,max_threads_per_block
67,32,4,1,1.3113e-05,1.3113e-05,10816,0.824829,3,2,4,4,0,0,"0,0,0:-4,0,0;0,0,0:-4,0,0;none",1024
68,32,4,1,1.40667e-05,1.40667e-05,10816,0.768908,3,2,2,2,0,0,"0,0,0:-2,0,0;0,0,0:-2,0,0;none",1024
69,32,4,1,1.09673e-05,1.09673e-05,10816,0.986209,3,2,4,0,0,4,"0,0,0:0,0,4;0,0,0:0,0,4;none",1024
70,32,4,1,1.09673e-05,1.09673e-05,10816,0.986209,3,2,2,0,0,2,"0,0,0:0,0,2;0,0,0:0,0,2;none",1024
71,32,4,1,1.21593e-05,1.21593e-05,10816,0.889521,3,2,4,0,0,4,"0,0,0:0,0,-4;0,0,0:0,0,-4;none",1024
72,32,4,1,1.09673e-05,1.09673e-05,10816,0.986209,3,2,2,0,0,2,"0,0,0:0,0,-2;0,0,0:0,0,-2;none",1024
73,32,4,1,1.09673e-05,1.09673e-05,10816,0.986209,3,2,4,0,4,0,"0,0,0:0,4,0;0,0,0:0,4,0;none",1024
74,32,4,1,1.09673e-05,1.09673e-05,10816,0.986209,3,2,2,0,2,0,"0,0,0:0,2,0;0,0,0:0,2,0;none",1024
75,32,4,1,1.09673e-05,1.09673e-05,10816,0.986209,3,2,4,0,4,0,"0,0,0:0,-4,0;0,0,0:0,-4,0;none",1024
76,32,4,1,1.19209e-05,1.19209e-05,10816,0.907312,3,2,2,0,2,0,"0,0,0:0,-2,0;0,0,0:0,-2,0;none",1024
77,32,4,1,1.50204e-05,1.50204e-05,10920,0.727013,3,2,4,4,0,0,"0,0,0:4,0,0;0,0,0:4,0,0;none",1024
78,32,4,1,1.40667e-05,1.40667e-05,10920,0.776302,3,2,2,2,0,0,"0,0,0:2,0,0;0,0,0:2,0,0;none",1024
79,32,4,1,1.40667e-05,1.40667e-05,10920,0.776302,3,2,4,4,0,0,"0,0,0:-4,0,0;0,0,0:-4,0,0;none",1024
80,32,4,1,1.38283e-05,1.38283e-05,10920,0.789686,3,2,2,2,0,0,"0,0,0:-2,0,0;0,0,0:-2,0,0;none",1024
81,32,4,1,1.19209e-05,1.19209e-05,10816,0.907312,3,2,4,0,0,4,"0,0,0:0,0,4;0,0,0:0,0,4;none",1024
82,32,4,1,1.12057e-05,1.12057e-05,10816,0.965225,3,2,2,0,0,2,"0,0,0:0,0,2;0,0,0:0,0,2;none",1024
83,32,4,1,1.12057e-05,1.12057e-05,10816,0.965225,3,2,4,0,0,4,"0,0,0:0,0,-4;0,0,0:0,0,-4;none",1024
84,32,4,1,1.09673e-05,1.09673e-05,10816,0.986209,3,2,2,0,0,2,"0,0,0:0,0,-2;0,0,0:0,0,-2;none",1024
85,32,4,1,1.09673e-05,1.09673e-05,10920,0.995691,3,2,4,0,4,0,"0,0,0:0,4,0;0,0,0:0,4,0;none",1024
86,32,4,1,1.19209e-05,1.19209e-05,10920,0.916036,3,2,2,0,2,0,"0,0,0:0,2,0;0,0,0:0,2,0;none",1024
87,32,4,1,1.19209e-05,1.19209e-05,10920,0.916036,3,2,4,0,4,0,"0,0,0:0,-4,0;0,0,0:0,-4,0;none",1024
88,32,4,1,1.3113e-05,1.3113e-05,10920,0.83276,3,2,2,0,2,0,"0,0,0:0,-2,0;0,0,0:0,-2,0;none",1024
89,32,4,1,1.38283e-05,1.38283e-05,10920,0.789686,3,2,4,4,0,0,"0,0,0:4,0,0;0,0,0:4,0,0;none",1024
